title,image,link
哑铃图,64.png,https://mp.weixin.qq.com/s/CN00GbeNf6C3RU3d4Ui6nw
表达量图,65.png,https://mp.weixin.qq.com/s/WhzUZldWhhkJxO5ddMpHAQ
柱状图-显著性,66.png,https://mp.weixin.qq.com/s/Z6NONCTFYqpB0SOYjLyF8Q
箱线图-显著性,67.png,https://mp.weixin.qq.com/s/j9-qW-jRkHWwTl05o6wgQw
直方图-密度,68.png,https://mp.weixin.qq.com/s/v8CGvvOjQ8TvSCmG94Skgg
曼哈顿图,69.png,https://mp.weixin.qq.com/s/k9sgA2gMeDcGNGYsgZnocA
QQ图,70.png,https://mp.weixin.qq.com/s/iqwzWFOlHIoDTnrotywLPQ
散点图-边际,71.png,https://mp.weixin.qq.com/s/VIasiBkP7Bb9hQAHrnlyyQ
mantel检验图,72.png,https://mp.weixin.qq.com/s/we5FWX87JMFbpIBdvYLJkg
火山图-基础,73.png,https://mp.weixin.qq.com/s/EhhXK9eY6w7mc7l0-akjdg
火山图-单细胞,74.png,https://mp.weixin.qq.com/s/KHE7-k5nXT-V_Bl-UKZifQ
GSEA图,75.png,https://mp.weixin.qq.com/s/da73TK1N0QHfdlPO4lz7og
三元图-基础,76.png,https://mp.weixin.qq.com/s/HbKfOM0ROYRZ8EivqpCkrw
三元图-密度,77.png,https://mp.weixin.qq.com/s/X2KZ0yziDurhs32EUMlDaw
平行线图,78.png,https://mp.weixin.qq.com/s/jGukV45HmQx5w8m-0QKMSA
仪表盘图,79.png,https://mp.weixin.qq.com/s/WFikb4Kn_iOwf-V6zCC3jw
词云图,80.png,https://mp.weixin.qq.com/s/uNdzKVevWBjDLSpun_oEEg
3D折线图-基础,81.png,https://mp.weixin.qq.com/s/B4pQFi9xWgckNxA3zQb3Yg
3D折线图-分组,82.png,https://mp.weixin.qq.com/s/BCWuIoRxf-UOQ4uRllfI1Q
3D折线图-渐变,83.png,https://mp.weixin.qq.com/s/o_VCLctle6RpCvL2Zm8PGQ
3D散点图-基础,84.png,https://mp.weixin.qq.com/s/JXD0mQAiRRB2xcd48RI7fg
3D散点图-分组,85.png,https://mp.weixin.qq.com/s/qPKV05yiY1v0xiYMfSKGHA
3D散点图-气泡,86.png,https://mp.weixin.qq.com/s/S5OzBdLpCmRCuUX-QhsUdQ
3D柱状图-基础,87.png,https://mp.weixin.qq.com/s/ySywSRnZJfMuAOcduL5JaA
3D柱状图-分组,88.png,https://mp.weixin.qq.com/s/27jDypGHmfHmShMYku6J6g
3D柱状图-堆叠,89.png,https://mp.weixin.qq.com/s/_q65Te6vXc6_8r1mSpmWug
3D直方图-基础,90.png,https://mp.weixin.qq.com/s/snWLbNnPI7ucCLfbBrL-YA
3D直方图-分组,91.png,https://mp.weixin.qq.com/s/OIuzkSlmt-XBSNJpj6cxEw
3D密度图-分组,92.png,https://mp.weixin.qq.com/s/ZAQvFO2hllNpfCpInCthJQ
3D饼状图-基础,93.png,https://mp.weixin.qq.com/s/V6-9KaVlSCMgl-Pq0qdryg
3D饼状图-裂开,94.png,https://mp.weixin.qq.com/s/mOOUcHSZ6sWfaA1KYI4hTA
3D热图,95.png,https://mp.weixin.qq.com/s/8naEuKSK57cAW-_70dVO9g
3D曲面-基础,96.png,https://mp.weixin.qq.com/s/7kW3O-Td_-HQoz_Xy4_FKA
3D曲面-多层,97.png,https://mp.weixin.qq.com/s/eaq4oicc7T-gtuZms5DR6g
3D形状,98.png,https://mp.weixin.qq.com/s/jFIkeiYcqOmaVdkhh0n7fg
3D地图,99.png,https://mp.weixin.qq.com/s/QZr1bqyO6WBxrxlZNJr_7Q
3D地球,100.png,https://mp.weixin.qq.com/s/dtuD_R7PSQIMCUH6i8GEng
